
filename,"10.1002adma.202201502.Isotherm2"
DOI,"10.1002/adma.202201502"
articleSource,"Table"
date,"2020-08-10"
digitizer,"Daniel W. Siderius"
adsorbent
hashkey,"NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb"
name,"IRMOF-1"
adsorbates
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
name,"Nitrogen"
category,"exp"
temperature,"77"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"4.9E-5"
total_adsorption,"1.036"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.036"
line_id,"2"
pressure,"0.000104"
total_adsorption,"1.90804"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.90804"
line_id,"3"
pressure,"0.000154"
total_adsorption,"2.15571"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.15571"
line_id,"4"
pressure,"0.000196"
total_adsorption,"2.70102"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.70102"
line_id,"5"
pressure,"0.000231"
total_adsorption,"3.15102"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.15102"
line_id,"6"
pressure,"0.000266"
total_adsorption,"3.80533"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.80533"
line_id,"7"
pressure,"0.000344"
total_adsorption,"17.8542"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.8542"
line_id,"8"
pressure,"0.000416"
total_adsorption,"37.6792"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"37.6792"
line_id,"9"
pressure,"0.000442"
total_adsorption,"44.4798"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"44.4798"
line_id,"10"
pressure,"0.000538"
total_adsorption,"64.2932"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"64.2932"
line_id,"11"
pressure,"0.000691"
total_adsorption,"83.5137"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"83.5137"
line_id,"12"
pressure,"0.000836"
total_adsorption,"91.8364"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"91.8364"
line_id,"13"
pressure,"0.001032"
total_adsorption,"98.6779"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"98.6779"
line_id,"14"
pressure,"0.001406"
total_adsorption,"112.605"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"112.605"
line_id,"15"
pressure,"0.001777"
total_adsorption,"124.388"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"124.388"
line_id,"16"
pressure,"0.00211"
total_adsorption,"134.337"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"134.337"
line_id,"17"
pressure,"0.002669"
total_adsorption,"154.113"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"154.113"
line_id,"18"
pressure,"0.003137"
total_adsorption,"173.926"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"173.926"
line_id,"19"
pressure,"0.003467"
total_adsorption,"190.692"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"190.692"
line_id,"20"
pressure,"0.003787"
total_adsorption,"210.479"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"210.479"
line_id,"21"
pressure,"0.004043"
total_adsorption,"230.263"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"230.263"
line_id,"22"
pressure,"0.004259"
total_adsorption,"250.025"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"250.025"
line_id,"23"
pressure,"0.004443"
total_adsorption,"269.787"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"269.787"
line_id,"24"
pressure,"0.004611"
total_adsorption,"289.523"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"289.523"
line_id,"25"
pressure,"0.004764"
total_adsorption,"309.269"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"309.269"
line_id,"26"
pressure,"0.004895"
total_adsorption,"329.018"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"329.018"
line_id,"27"
pressure,"0.005025"
total_adsorption,"348.724"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"348.724"
line_id,"28"
pressure,"0.00515"
total_adsorption,"368.449"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"368.449"
line_id,"29"
pressure,"0.005268"
total_adsorption,"388.165"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"388.165"
line_id,"30"
pressure,"0.005395"
total_adsorption,"407.835"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"407.835"
line_id,"31"
pressure,"0.005525"
total_adsorption,"427.54"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"427.54"
line_id,"32"
pressure,"0.005647"
total_adsorption,"447.224"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"447.224"
line_id,"33"
pressure,"0.005775"
total_adsorption,"466.945"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"466.945"
line_id,"34"
pressure,"0.005951"
total_adsorption,"486.604"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"486.604"
line_id,"35"
pressure,"0.006136"
total_adsorption,"506.438"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"506.438"
line_id,"36"
pressure,"0.006361"
total_adsorption,"526.084"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"526.084"
line_id,"37"
pressure,"0.006625"
total_adsorption,"545.771"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"545.771"
line_id,"38"
pressure,"0.006961"
total_adsorption,"565.404"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"565.404"
line_id,"39"
pressure,"0.007375"
total_adsorption,"585.064"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"585.064"
line_id,"40"
pressure,"0.007944"
total_adsorption,"604.602"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"604.602"
line_id,"41"
pressure,"0.008648"
total_adsorption,"623.844"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"623.844"
line_id,"42"
pressure,"0.009664"
total_adsorption,"643.198"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"643.198"
line_id,"43"
pressure,"0.010859"
total_adsorption,"659.897"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"659.897"
line_id,"44"
pressure,"0.012885"
total_adsorption,"679.317"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"679.317"
line_id,"45"
pressure,"0.013534"
total_adsorption,"683.812"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"683.812"
line_id,"46"
pressure,"0.017006"
total_adsorption,"703.156"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"703.156"
line_id,"47"
pressure,"0.017419"
total_adsorption,"704.637"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"704.637"
line_id,"48"
pressure,"0.021951"
total_adsorption,"719.761"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"719.761"
line_id,"49"
pressure,"0.029949"
total_adsorption,"736.58"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"736.58"
line_id,"50"
pressure,"0.037994"
total_adsorption,"747.287"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"747.287"
line_id,"51"
pressure,"0.044397"
total_adsorption,"753.546"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"753.546"
line_id,"52"
pressure,"0.057102"
total_adsorption,"763.026"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"763.026"
line_id,"53"
pressure,"0.075995"
total_adsorption,"772.765"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"772.765"
line_id,"54"
pressure,"0.095877"
total_adsorption,"780.029"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"780.029"
